time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.0002778185,1.69476905043e-06,0.000336875629181,0.0,0.0,0.0,0.0277818511452,0.000260366591613,0.0036708343966,0.0,430.9859715216373,431.91556643320945,431.6792105314652,431.745105335549
0.04,-8.63458294909e-07,4.34392461716e-09,10.0014345922,0.000480015261707,0.00187260694963,0.0,-8.63458294909e-05,4.34392461716e-07,0.0878955132371,-0.00408986632548,-0.00397721014436,0.0,462.0497133597094,460.2375712352191,462.734549598048,461.7062328737206
0.06,-7.10954108511e-06,1.17145217805e-06,10.0036438014,0.00135487539272,0.00335538529095,0.0,-0.000538262449529,0.000116276432882,0.133025407408,-0.0102758422631,-0.0118824553505,0.0,449.68859458934264,447.76382158935655,448.01356408199126,446.5024732173333
0.08,-2.63410646348e-05,6.91557494709e-06,10.0068654877,0.00194030001652,0.00527665512835,0.0,-0.00138488990544,0.000458135844022,0.189143226182,-0.00465110593483,-0.021175289029,0.0,458.751582478753,456.53307452450485,457.8644629207114,459.20486538047624
0.1,-6.62942157277e-05,2.05847118794e-05,10.0110088871,0.00245541535634,0.0083592025281,0.0,-0.00261042520384,0.00090877784921,0.225196712536,0.000280982703972,-0.0330176759173,0.0,440.83191115633474,437.88691052756315,439.06592824508095,440.2916473883451
0.12000000000000001,-0.000139032066753,4.47903702031e-05,10.0160066542,0.00252826589115,0.00867649439469,0.0,-0.00466335989871,0.00151178798316,0.274580001552,-0.00135890608158,-0.0267642116456,0.0,451.2283275985588,452.7396181822736,452.1633448498597,451.766899736819
0.14,-0.000252650046073,8.09560311244e-05,10.0218816925,0.00451494889326,0.00993857638212,0.0,-0.00669843803326,0.00210477810896,0.312923830755,0.00761630672646,-0.0182851404221,0.0,441.37232411836084,443.4661872903805,439.9183063947153,442.14187436395554
0.16,-0.000409572564732,0.000133478740286,10.0284876257,0.00470376136675,0.0126602951573,0.0,-0.0089938138327,0.00314749280718,0.347669485582,0.00882438518346,-0.00717222616232,0.0,438.0813944339106,440.84441288805016,437.08599442248794,437.38777051425205
0.18,-0.000617254025731,0.000206758600842,10.0356751172,0.00555966766227,0.0126378837411,0.0,-0.0117743322671,0.0041804932484,0.371079659641,0.00361125333454,-0.00937252711515,0.0,427.91108489664396,427.34900207310153,428.023135944005,426.6901765355348
0.19999999999999998,-0.000876300461285,0.000300732182279,10.042998784,0.00584440612147,0.0129707800549,0.0,-0.0141303112883,0.00521686489538,0.361287022635,0.00652682115236,-0.0139347496265,0.0,394.13570694253843,392.86903680858956,393.87721939802134,394.68511005912086
0.21999999999999997,-0.00119437111731,0.00042104791929,10.0509964721,0.00715131805126,0.0136977091783,0.0,-0.0176767543138,0.00681470880566,0.438481791472,0.0133864873447,-0.0202770650267,0.0,477.4791325668417,476.0257270011968,476.3867521581002,477.957359676535
0.23999999999999996,-0.00158352226704,0.000575934874184,10.0604039815,0.00744790669399,0.0132953753651,0.0,-0.0212383606596,0.00867398668376,0.502269148308,0.0144608968724,-0.0206352542151,0.0,464.7884896356351,464.70432102664586,465.50113284204014,465.75312576912546
0.25999999999999995,-0.00204237532693,0.000768507136412,10.0710508076,0.00776920590313,0.0132719072052,0.0,-0.0246469453292,0.010583239539,0.562413459544,0.0155937035055,-0.0245810718712,0.0,462.97931856445985,462.0471996780811,461.2972584171665,461.5653811107439
0.27999999999999997,-0.00256658658816,0.000998476155352,10.0826930491,0.00810938962331,0.0153435561376,0.0,-0.0277741807943,0.012413662355,0.60181068764,0.0145295672347,-0.0144553217856,0.0,441.8496663518207,444.34649010873943,442.9594881241306,442.69682570524185
0.3,-0.00315205721465,0.00126259567247,10.094721316,0.00953010094072,0.0151536924417,0.0,-0.0307728818547,0.0139982893573,0.601016001331,0.0212530186481,-0.0164477347929,0.0,403.92224134447474,403.3830014775759,402.4845907201426,404.305635584717
0.32,-0.00380716828692,0.00156749543456,10.1073959281,0.0122891973602,0.0187435204294,0.0,-0.0347382253723,0.0164916868511,0.666445214503,0.0309153911239,-0.00392769855718,0.0,465.21326985405034,468.1446956921865,465.81518769418324,468.07612831793375
0.34,-0.00454579282501,0.00192608015772,10.1211022732,0.0129640274916,0.0187928811958,0.0,-0.0391242284369,0.0193667854654,0.704189289393,0.0294117647223,-0.00166571060409,0.0,440.8826259752193,441.44293631898194,442.14204750050135,441.77063867931696
0.36000000000000004,-0.00537062703698,0.00234262341348,10.1354769377,0.0152077807019,0.0205033627453,0.0,-0.0433591927598,0.0222875401102,0.733277164689,0.0212741534859,-0.0100174667347,0.0,434.4380962861341,432.3324905453541,434.40067298863534,432.34925837965545
0.38000000000000006,-0.00629205401853,0.00282859707297,10.1508252005,0.016065569317,0.0204126622631,0.0,-0.0487835053954,0.0263098258383,0.801549118058,0.0171157617514,-0.00792319977478,0.0,467.962736439398,468.4516015703961,471.3435026302828,470.37850683606405
0.4000000000000001,-0.00732234990767,0.00339777387607,10.1675693076,0.0164389653491,0.0216129158577,0.0,-0.0542460835179,0.0306078544719,0.872861585011,0.018230764837,-0.000551042451303,0.0,471.83856089317237,473.54279758864243,471.813617670093,472.07166834168686
0.4200000000000001,-0.00845642313123,0.00404730307142,10.1853377924,0.0169314524292,0.0216024031819,0.0,-0.059161238839,0.0343450650632,0.903986898413,0.015969156707,-0.000408469909421,0.0,436.3665273496819,436.40223856505895,435.11869856636935,434.55034346621403
